# Produced by delphy version 0.99 (build 2020, commit 8e1dda4)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-init-heuristic <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs/ebola_delphy.log <DASH-DASH>v0-log-every 200000 <DASH-DASH>v0-out-trees-file delphy_outputs/ebola_delphy.trees <DASH-DASH>v0-tree-every 1000000 <DASH-DASH>v0-out-beast-xml beast2_run/ebola.xml
Sample	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
229800000	-22745.1	-26684.5	3939.47	-26684.5	0.264534	0.00234897	7.48182	178.932	0.0483373	4.79621	0.316757	0.217315	0.196919	0.269009
230000000	-22747.3	-26678.4	3931.14	-26678.4	0.313135	0.00286688	7.37766	170.413	0.0477016	0.234943	0.32359	0.216773	0.194212	0.265425
230200000	-22763.2	-26677.4	3914.21	-26677.4	0.282612	0.00248271	7.97802	153.667	0.0503611	0.314448	0.317578	0.216958	0.198927	0.266536
230400000	-22739	-26670.8	3931.75	-26670.8	0.26568	0.00275223	13.1335	172.354	0.051124	6.60905	0.319151	0.211615	0.199176	0.270057
230600000	-22800.9	-26695.6	3894.77	-26695.6	0.290562	0.00266569	18.9519	136.51	0.0792001	4.06722	0.314745	0.214818	0.197778	0.272659
230800000	-22767.5	-26685.3	3917.8	-26685.3	0.281961	0.00234399	6.50785	157.312	0.0676826	3.10008	0.323801	0.208104	0.2068	0.261295
231000000	-22812.2	-26691.8	3879.62	-26691.8	0.286104	0.00184996	14.0201	121.099	0.115371	4.44601	0.314919	0.211358	0.197221	0.276501
231200000	-22845.2	-26700	3854.72	-26700	0.282269	0.00188547	6.97128	95.8948	0.235868	12.2807	0.327736	0.208449	0.200105	0.26371
231400000	-22856.8	-26704.8	3847.97	-26704.8	0.323709	0.00165103	12.3574	89.317	0.139637	2.47862	0.323121	0.215783	0.198826	0.26227
231600000	-22839.8	-26698	3858.21	-26698	0.255871	0.00198351	15.6212	100.381	0.153592	9.92845	0.320352	0.214951	0.201135	0.263562
231800000	-22829.5	-26694.2	3864.72	-26694.2	0.273147	0.00182888	9.89733	105.955	0.161823	7.20269	0.323593	0.214122	0.199801	0.262483
232000000	-22828.6	-26696.5	3867.91	-26696.5	0.325446	0.00200238	8.71186	108.553	0.124805	4.09106	0.317075	0.216703	0.199471	0.266752
232200000	-22792.4	-26686.6	3894.19	-26686.6	0.272831	0.00260807	5.57162	134.279	0.109553	13.0564	0.32375	0.215015	0.198382	0.262853
232400000	-22793.6	-26699.2	3905.62	-26699.2	0.289045	0.00282252	6.17664	145.019	0.0641298	3.52253	0.324995	0.211135	0.191877	0.271993
232600000	-22757.9	-26676.7	3918.81	-26676.7	0.259743	0.00287774	10.3288	159.115	0.0609929	6.23586	0.322866	0.212732	0.197578	0.266824
232800000	-22819.4	-26706.5	3887.09	-26706.5	0.329574	0.00209197	20.4935	128.87	0.078386	0.255118	0.318873	0.211842	0.199368	0.269916
233000000	-22746	-26686	3940.06	-26686	0.270826	0.0023112	5.32841	179.16	0.0505537	8.34416	0.31624	0.217631	0.195844	0.270285
233200000	-22741.5	-26672.5	3931.03	-26672.5	0.277208	0.00261267	11.5738	171.324	0.047406	7.22669	0.316334	0.213407	0.197278	0.272981
233400000	-22769.5	-26692.7	3923.18	-26692.7	0.28056	0.00230224	11.7635	163.447	0.0512417	3.01676	0.318179	0.215959	0.19036	0.275502
233600000	-22750	-26684.2	3934.16	-26684.2	0.295503	0.00378451	7.4627	173.718	0.0530265	5.16602	0.320651	0.214223	0.197742	0.267384
233800000	-22727.5	-26669.1	3941.68	-26669.1	0.280123	0.00325006	11.4105	181.946	0.0524941	3.9951	0.314255	0.216757	0.198478	0.27051
234000000	-22784.7	-26686.7	3901.98	-26686.7	0.281118	0.00201418	5.70992	141.344	0.0707148	3.17477	0.32055	0.216615	0.19848	0.264355
234200000	-22805.1	-26689.1	3884.09	-26689.1	0.278159	0.00254683	13.3612	125.359	0.0950176	7.04529	0.322632	0.213717	0.194293	0.269358
234400000	-22790.7	-26688.2	3897.5	-26688.2	0.312243	0.00231986	4.53937	136.69	0.0834603	2.56605	0.315628	0.217457	0.200964	0.265951
234600000	-22737.1	-26671.2	3934.09	-26671.2	0.26069	0.00321097	10.262	174.312	0.0553583	6.99332	0.31792	0.20905	0.202263	0.270768
234800000	-22800.3	-26705.8	3905.55	-26705.8	0.375303	0.00203877	6.65311	144.747	0.0522174	-0.300319	0.316602	0.219144	0.196736	0.267519
235000000	-22855.3	-26704.2	3848.87	-26704.2	0.321634	0.00154035	7.30122	89.2487	0.128878	4.24592	0.32159	0.214896	0.194892	0.268621
235200000	-22805.7	-26691.5	3885.84	-26691.5	0.298342	0.00191805	8.76007	126.33	0.106067	4.17092	0.320659	0.219351	0.192564	0.267425
235400000	-22753.3	-26676.7	3923.46	-26676.7	0.266324	0.00296047	8.68421	163.389	0.0542294	7.91401	0.315518	0.215226	0.20437	0.264886
235600000	-22771.5	-26683.2	3911.71	-26683.2	0.284041	0.00345356	10.6502	152.109	0.0679426	4.23673	0.314673	0.21253	0.199249	0.273548
235800000	-22821.7	-26690.8	3869.15	-26690.8	0.280443	0.00219143	11.9428	110.568	0.12048	11.0838	0.321999	0.216896	0.195219	0.265886
236000000	-22806.1	-26692.8	3886.64	-26692.8	0.311279	0.00192605	5.47786	126.139	0.0881902	2.28085	0.322779	0.212145	0.19983	0.265246
236200000	-22810.9	-26690.9	3880.04	-26690.9	0.27346	0.00210793	9.90422	121.109	0.134944	7.72062	0.323264	0.215057	0.190492	0.271187
236400000	-22832.1	-26695.9	3863.89	-26695.9	0.283554	0.00190393	9.10779	104.845	0.137474	8.40914	0.320663	0.217869	0.198189	0.26328
236600000	-22801	-26687	3885.99	-26687	0.263679	0.00222847	8.2038	126.254	0.0928556	4.66915	0.316854	0.213043	0.195327	0.274776
236800000	-22806.7	-26689.7	3883.04	-26689.7	0.284278	0.00205054	6.35059	123.379	0.126075	10.4864	0.313422	0.218238	0.197005	0.271336
237000000	-22819	-26693.3	3874.28	-26693.3	0.293808	0.00236969	9.92404	114.871	0.0878209	6.2735	0.316185	0.215073	0.194461	0.274281
237200000	-22825.6	-26693.2	3867.58	-26693.2	0.267512	0.0019388	7.07463	108.375	0.15992	11.8233	0.318272	0.212931	0.198616	0.270182
237400000	-22848.1	-26699.7	3851.68	-26699.7	0.286625	0.0015986	8.70977	92.2341	0.113614	4.36471	0.324461	0.212561	0.19728	0.265698
237600000	-22775.4	-26684.5	3909.08	-26684.5	0.283812	0.00292157	11.9757	149.493	0.0595913	1.84272	0.313453	0.2111	0.200857	0.274589
237800000	-22783.9	-26697.3	3913.41	-26697.3	0.300589	0.00251614	10.5294	153.439	0.0537343	-0.650122	0.307218	0.216152	0.20131	0.27532
238000000	-22812.1	-26690.6	3878.51	-26690.6	0.301907	0.00206613	8.57098	118.977	0.113812	2.5425	0.320824	0.213215	0.196587	0.269374
238200000	-22824.9	-26692.8	3867.91	-26692.8	0.270052	0.00227824	9.3278	108.645	0.11779	4.96078	0.32232	0.21168	0.199466	0.266534
238400000	-22856.7	-26718.8	3862.09	-26718.8	0.316748	0.00200468	5.44892	101.944	0.127403	2.38346	0.32877	0.211157	0.194612	0.265461
238600000	-22797.6	-26690.2	3892.57	-26690.2	0.302293	0.0021551	7.53954	132.541	0.0816947	3.95296	0.316612	0.217288	0.199939	0.26616
238800000	-22817.7	-26701.9	3884.22	-26701.9	0.298922	0.00234497	8.76529	124.302	0.0803124	-0.237803	0.31451	0.218909	0.199611	0.266971
239000000	-22840.9	-26699.4	3858.43	-26699.4	0.292921	0.00163865	8.06005	98.9082	0.122583	3.86479	0.320087	0.216196	0.195492	0.268225
239200000	-22794.2	-26682.9	3888.64	-26682.9	0.269071	0.00216205	9.29969	129.247	0.09322	8.42599	0.317316	0.214614	0.19831	0.26976
239400000	-22792.6	-26686.9	3894.25	-26686.9	0.29628	0.00203992	9.53938	134.449	0.075078	1.31872	0.321232	0.215664	0.196372	0.266732
239600000	-22740.5	-26673.7	3933.21	-26673.7	0.263533	0.00327101	9.65678	173.075	0.0466318	4.81006	0.324362	0.218096	0.195162	0.26238
239800000	-22781.7	-26682.3	3900.62	-26682.3	0.271877	0.00216221	12.0946	141.754	0.0999487	7.29355	0.320082	0.214416	0.197237	0.268265
240000000	-22828.8	-26694.9	3866.05	-26694.9	0.263075	0.00153363	13.9622	108.141	0.16307	12.883	0.317745	0.213122	0.197361	0.271771
240200000	-22851.7	-26700.3	3848.53	-26700.3	0.32674	0.00202178	10.0809	89.8789	0.186779	5.27543	0.321068	0.210891	0.200296	0.267745
240400000	-22808.5	-26689.2	3880.64	-26689.2	0.273019	0.00252449	15.3671	122.441	0.117504	7.825	0.317086	0.213353	0.200178	0.269383
240600000	-22823.3	-26693	3869.69	-26693	0.292858	0.00182588	6.68387	109.813	0.107586	6.14347	0.319556	0.213492	0.198328	0.268624
240800000	-22824.8	-26696.2	3871.34	-26696.2	0.317873	0.0024229	14.2887	112.926	0.123906	4.37231	0.32086	0.215823	0.197884	0.265434
241000000	-22840.1	-26695.8	3855.75	-26695.8	0.273888	0.00187438	10.0843	96.9426	0.146232	8.01236	0.32078	0.215514	0.197636	0.26607
241200000	-22788.8	-26688.9	3900.12	-26688.9	0.325497	0.00283063	9.53033	140.201	0.0682342	-0.41062	0.316997	0.214644	0.201751	0.266608
241400000	-22846.6	-26703.1	3856.43	-26703.1	0.334081	0.00178738	8.4211	97.1929	0.147954	4.30309	0.318333	0.211997	0.199557	0.270113
241600000	-22785.1	-26691.6	3906.47	-26691.6	0.271746	0.0025238	14.1372	147.806	0.0888519	7.57868	0.320232	0.215004	0.196667	0.268097
241800000	-22824.8	-26696.3	3871.58	-26696.3	0.27722	0.00185536	11.7991	112.741	0.100328	9.71755	0.323939	0.220474	0.195544	0.260043
242000000	-22780	-26686.7	3906.73	-26686.7	0.30062	0.00253697	9.28222	146.788	0.0650803	2.7477	0.321983	0.210704	0.196071	0.271242
242200000	-22795.5	-26698.8	3903.35	-26698.8	0.315576	0.00205349	9.05077	143.264	0.0619464	1.20253	0.327313	0.210748	0.197302	0.264637
242400000	-22808.4	-26691	3882.63	-26691	0.30634	0.00280119	9.26908	123.538	0.128328	7.9446	0.31962	0.211984	0.193865	0.274532
242600000	-22769.4	-26683.1	3913.65	-26683.1	0.291617	0.00279051	10.9225	153.7	0.0500983	-1.3959	0.320028	0.215495	0.198937	0.265541
242800000	-22789.1	-26687.7	3898.58	-26687.7	0.273981	0.00270988	7.1374	138.506	0.0810756	5.70999	0.329474	0.208535	0.197097	0.264893
243000000	-22775.7	-26678.9	3903.2	-26678.9	0.263206	0.00269889	20.9521	145.948	0.129802	12.9361	0.32199	0.214373	0.193621	0.270016
243200000	-22737	-26672.5	3935.52	-26672.5	0.288139	0.00305222	7.45271	174.886	0.0470728	2.85295	0.319011	0.212445	0.199523	0.269022
243400000	-22735	-26672.5	3937.56	-26672.5	0.275011	0.00363182	5.96275	176.604	0.046075	4.57889	0.32304	0.213115	0.196297	0.267548
243600000	-22778.3	-26681.5	3903.21	-26681.5	0.267301	0.00307585	10.2218	143.919	0.0840176	9.46872	0.315151	0.217897	0.197979	0.268973
243800000	-22790.5	-26689.3	3898.75	-26689.3	0.303183	0.00329304	5.55684	138.056	0.0740011	1.26948	0.314081	0.217043	0.20038	0.268496
244000000	-22845.9	-26698.1	3852.19	-26698.1	0.283097	0.0020601	12.095	93.865	0.161964	9.07454	0.317775	0.213596	0.20193	0.266699
244200000	-22801.5	-26687.8	3886.29	-26687.8	0.26429	0.00272574	9.60498	127.573	0.151931	12.2556	0.32174	0.214839	0.196896	0.266525
244400000	-22773.9	-26688.7	3914.75	-26688.7	0.26692	0.00293667	9.92412	155.209	0.0790652	5.24628	0.319141	0.216348	0.196597	0.267915
244600000	-22792.5	-26695.1	3902.57	-26695.1	0.304924	0.00249538	7.9823	142.704	0.0831771	5.61718	0.321414	0.215423	0.195363	0.2678
244800000	-22751.9	-26677.3	3925.37	-26677.3	0.26676	0.00289842	12.1806	166.102	0.0635537	8.36909	0.325062	0.214077	0.192641	0.26822
245000000	-22773.6	-26680	3906.38	-26680	0.280557	0.00259126	8.03731	146.405	0.0743371	5.40354	0.31812	0.215349	0.196651	0.26988
245200000	-22813.3	-26699.6	3886.39	-26699.6	0.341839	0.00230743	23.7008	128.466	0.0716245	1.73086	0.324437	0.211311	0.194244	0.270008
245400000	-22824.9	-26693.7	3868.8	-26693.7	0.301838	0.00168957	6.61456	108.799	0.10265	4.26637	0.320823	0.212434	0.196803	0.26994
245600000	-22770.1	-26680.5	3910.47	-26680.5	0.274099	0.0021279	8.16217	150.224	0.0654669	0.233738	0.317095	0.213603	0.201755	0.267547
245800000	-22772.1	-26681.8	3909.7	-26681.8	0.278531	0.00256945	9.43316	149.858	0.0670329	4.13552	0.314228	0.217787	0.195798	0.272188
246000000	-22817.8	-26693.3	3875.41	-26693.3	0.278291	0.00208605	7.7747	115.833	0.112836	6.38751	0.316151	0.21564	0.195347	0.272861
246200000	-22868.4	-26707.6	3839.25	-26707.6	0.357614	0.00141965	16.6107	81.3232	0.155102	2.76888	0.318238	0.214996	0.198143	0.268623
246400000	-22902.8	-26717.7	3814.9	-26717.7	0.298911	0.00212966	9.40303	56.6073	0.295283	6.11051	0.320587	0.210075	0.201247	0.268091
246600000	-22823.6	-26693.4	3869.8	-26693.4	0.283471	0.00186704	9.51791	110.748	0.140079	5.055	0.321737	0.21316	0.195264	0.269839
246800000	-22817.6	-26689.3	3871.65	-26689.3	0.278165	0.00230254	6.71774	112.009	0.135443	6.25174	0.318275	0.213743	0.201071	0.266911
247000000	-22833.7	-26697.2	3863.48	-26697.2	0.290216	0.00196257	7.4561	103.707	0.10732	4.19357	0.3159	0.219083	0.202209	0.262808
247200000	-22748.9	-26675.2	3926.22	-26675.2	0.258579	0.00206636	6.97197	166.215	0.0695314	13.665	0.320559	0.214121	0.198588	0.266732
247400000	-22790.3	-26690.6	3900.21	-26690.6	0.320714	0.00246308	8.03232	139.907	0.0604045	-1.75845	0.318422	0.215905	0.197821	0.267852
247600000	-22756.5	-26681.2	3924.73	-26681.2	0.33061	0.00235249	8.76092	164.269	0.0467133	-0.232761	0.320485	0.210493	0.199216	0.269806
247800000	-22783.5	-26688.8	3905.33	-26688.8	0.300314	0.00240321	9.96944	145.553	0.068963	2.00288	0.315284	0.221776	0.19732	0.26562
248000000	-22826.5	-26699.2	3872.66	-26699.2	0.334038	0.00195904	4.95172	112.242	0.111865	1.99724	0.321376	0.217413	0.195555	0.265656
248200000	-22831.8	-26705.4	3873.61	-26705.4	0.308107	0.00242097	7.69353	114.014	0.109846	7.16067	0.316044	0.213547	0.199521	0.270889
248400000	-22769.8	-26683.6	3913.76	-26683.6	0.271005	0.0025397	10.5382	153.733	0.0505158	0.787326	0.315881	0.221775	0.191782	0.270562
248600000	-22777.9	-26682.3	3904.41	-26682.3	0.269075	0.00207084	7.32133	144.688	0.0986369	9.08034	0.320154	0.216771	0.198257	0.264817
248800000	-22806.6	-26692.5	3885.93	-26692.5	0.298951	0.00253573	22.3053	127.911	0.0783814	0.464337	0.316683	0.213451	0.197723	0.272142
249000000	-22822.1	-26697	3874.89	-26697	0.292385	0.0020137	4.90654	114.298	0.0907427	3.5123	0.322798	0.214089	0.198324	0.264788
249200000	-22799.8	-26691.9	3892.13	-26691.9	0.292962	0.00182948	5.98966	131.891	0.091808	5.1318	0.314253	0.211406	0.20164	0.272701
249400000	-22824.9	-26691.4	3866.42	-26691.4	0.293921	0.00217726	8.45014	107.087	0.117375	8.26114	0.321248	0.212357	0.200822	0.265573
249600000	-22793.7	-26687.4	3893.66	-26687.4	0.260046	0.00238355	10.0517	134.764	0.116874	12.4299	0.32249	0.208603	0.195118	0.273788
249800000	-22799.3	-26689.9	3890.67	-26689.9	0.285657	0.00197181	9.6596	130.949	0.0771014	2.20995	0.322949	0.215703	0.202219	0.259129
250000000	-22762.2	-26686.5	3924.32	-26686.5	0.26392	0.00271161	16.3444	165.891	0.0766271	9.95314	0.320272	0.215306	0.19758	0.266843
250200000	-22761.2	-26677.5	3916.29	-26677.5	0.267062	0.00361553	6.99731	156.007	0.0672543	5.86672	0.314832	0.215127	0.201632	0.268409
250400000	-22786.4	-26684.5	3898.02	-26684.5	0.262047	0.00337202	7.40776	138.013	0.0709901	9.88078	0.317061	0.212424	0.202104	0.268411
250600000	-22822	-26693	3870.98	-26693	0.280425	0.00182984	8.22477	111.354	0.105673	4.06216	0.320702	0.212198	0.197882	0.269218
250800000	-22833.7	-26697.7	3863.99	-26697.7	0.273001	0.00198383	11.9868	105.431	0.137412	7.49575	0.316557	0.211883	0.202507	0.269054
251000000	-22836.1	-26700.4	3864.29	-26700.4	0.332186	0.00178616	7.41261	104.437	0.111529	0.853187	0.319112	0.209867	0.202642	0.268379
251200000	-22772.8	-26683.1	3910.27	-26683.1	0.28841	0.00240887	5.633	149.587	0.0666775	4.04825	0.323072	0.211087	0.201766	0.264076
251400000	-22789.9	-26683.3	3893.42	-26683.3	0.279692	0.00231421	8.02698	133.473	0.0790104	4.32524	0.324269	0.21282	0.19586	0.267051
251600000	-22819.5	-26691.8	3872.26	-26691.8	0.264625	0.00208639	13.014	113.972	0.139936	10.4215	0.319214	0.214604	0.199621	0.266561
251800000	-22830	-26696.7	3866.78	-26696.7	0.27915	0.00256593	12.5396	108.085	0.121239	4.49406	0.313465	0.216206	0.202837	0.267492
252000000	-22811.8	-26691.9	3880.18	-26691.9	0.297268	0.00203848	11.8939	121.128	0.0971358	3.50983	0.314108	0.212861	0.201156	0.271875
252200000	-22813.2	-26696.7	3883.51	-26696.7	0.346765	0.00191396	6.69013	123.295	0.082913	3.93864	0.321711	0.211033	0.200006	0.267251
252400000	-22824	-26702.9	3878.96	-26702.9	0.405104	0.00154066	8.19603	118.947	0.0784634	-1.43363	0.321689	0.217745	0.196527	0.264039
252600000	-22804.9	-26691.5	3886.61	-26691.5	0.263674	0.00185675	7.90756	127.317	0.129364	10.1736	0.318684	0.216611	0.204526	0.260179
252800000	-22825.2	-26695.8	3870.66	-26695.8	0.316391	0.00210278	8.50964	111.156	0.109413	4.86497	0.322076	0.208964	0.196749	0.272211
253000000	-22769.6	-26685.6	3915.98	-26685.6	0.292259	0.00250283	5.83727	155.318	0.063836	4.56483	0.312363	0.217949	0.196142	0.273546
253200000	-22760.6	-26678.1	3917.45	-26678.1	0.274666	0.00282487	9.08903	157.446	0.0590022	5.12159	0.324225	0.215347	0.192449	0.267979
253400000	-22856.1	-26704.6	3848.5	-26704.6	0.31868	0.00146268	16.083	90.4271	0.140496	3.49268	0.313434	0.217804	0.198637	0.270126
253600000	-22863	-26707.2	3844.21	-26707.2	0.277639	0.00154013	7.2653	84.8759	0.166552	5.45366	0.320548	0.214164	0.204217	0.26107
253800000	-22855.4	-26701.2	3845.75	-26701.2	0.262662	0.0021854	7.86693	87.4444	0.284562	16.6053	0.320073	0.214883	0.197131	0.267913
254000000	-22783.5	-26686.3	3902.8	-26686.3	0.257571	0.00271329	22.795	145.3	0.0980433	7.97885	0.324486	0.217368	0.191121	0.267026
254200000	-22756	-26678.6	3922.55	-26678.6	0.281916	0.00303232	7.42249	161.937	0.0526666	-0.261701	0.321326	0.209674	0.199363	0.269638
254400000	-22762	-26675.6	3913.59	-26675.6	0.269737	0.0027067	7.95307	153.741	0.0783071	8.14515	0.318461	0.215247	0.198555	0.267736
254600000	-22788.4	-26685.5	3897.02	-26685.5	0.290393	0.00268023	11.5354	137.44	0.0652232	1.35879	0.319038	0.215083	0.199821	0.266058
254800000	-22794.2	-26687.9	3893.63	-26687.9	0.290534	0.00249302	6.11465	133.018	0.0703179	-1.05343	0.322147	0.214516	0.196936	0.266402
255000000	-22811.6	-26702.2	3890.57	-26702.2	0.280615	0.00251333	7.83414	130.569	0.0861249	1.1919	0.318795	0.218409	0.19236	0.270436
255200000	-22792.5	-26685.6	3893.03	-26685.6	0.276107	0.00201872	13.5263	134.292	0.100936	4.24947	0.322879	0.211976	0.196289	0.268856
255400000	-22760.6	-26679.8	3919.16	-26679.8	0.280342	0.00335459	7.06204	158.768	0.0652625	2.94417	0.324483	0.209747	0.198508	0.267262
255600000	-22801.7	-26688.5	3886.74	-26688.5	0.291112	0.00206731	8.39697	126.649	0.0659896	2.9803	0.319724	0.210346	0.20121	0.26872
255800000	-22813.8	-26694.4	3880.59	-26694.4	0.291219	0.00200029	18.9196	122.016	0.0652463	0.57934	0.317511	0.21771	0.19485	0.269929
256000000	-22782.5	-26691.8	3909.33	-26691.8	0.278194	0.00246401	10.9259	149.922	0.0719852	6.89527	0.321955	0.211686	0.20062	0.265739
256200000	-22840.3	-26696.7	3856.36	-26696.7	0.278715	0.00173693	11.9003	97.9729	0.154039	9.90694	0.318819	0.215067	0.199024	0.267091
256400000	-22809.4	-26690	3880.68	-26690	0.30273	0.0022581	8.06674	121.113	0.107437	6.38554	0.321222	0.212811	0.197117	0.26885
256600000	-22753.9	-26686.4	3932.52	-26686.4	0.26959	0.00309862	6.69357	171.497	0.0373181	3.55348	0.31535	0.214859	0.198123	0.271668
256800000	-22807.2	-26698.8	3891.53	-26698.8	0.271805	0.00277066	8.60086	132.019	0.0976822	7.67473	0.317795	0.212013	0.197749	0.272443
257000000	-22745.3	-26676.2	3930.89	-26676.2	0.265869	0.00251003	7.96474	170.424	0.0488506	3.74479	0.316139	0.219222	0.193677	0.270963
257200000	-22794.4	-26684.5	3890.06	-26684.5	0.275435	0.002783	7.57423	130.414	0.100707	9.27957	0.319979	0.210975	0.194828	0.274218
257400000	-22752.7	-26678.2	3925.49	-26678.2	0.291647	0.00307185	9.91059	165.345	0.0515994	-0.0589614	0.320058	0.216234	0.197857	0.265851
257600000	-22801.6	-26688.6	3887	-26688.6	0.27436	0.00208608	7.8807	127.235	0.101488	3.24159	0.32221	0.21052	0.203009	0.264261
257800000	-22768.8	-26679.3	3910.5	-26679.3	0.271135	0.00275813	5.02239	149.923	0.0756643	8.54158	0.321301	0.212882	0.197804	0.268013
258000000	-22839	-26705.9	3866.88	-26705.9	0.308511	0.00210135	7.68982	107.449	0.139692	4.89446	0.318247	0.214013	0.195747	0.271993
258200000	-22848.3	-26714.9	3866.56	-26714.9	0.304388	0.00210979	10.0082	107.313	0.1061	4.77326	0.324231	0.21156	0.193075	0.271133
258400000	-22783.3	-26684.7	3901.4	-26684.7	0.274709	0.00249786	13.3741	142.303	0.0746256	3.25521	0.32081	0.216352	0.197717	0.265122
258600000	-22807.1	-26694.6	3887.48	-26694.6	0.304647	0.00180528	9.21035	127.726	0.0801468	-2.52976	0.327615	0.214176	0.197319	0.26089
258800000	-22819.5	-26694.9	3875.41	-26694.9	0.285167	0.00189422	13.303	116.945	0.127058	6.42091	0.309298	0.220263	0.198173	0.272267
259000000	-22818.2	-26694.8	3876.61	-26694.8	0.309795	0.00213601	9.3746	116.635	0.0675512	0.116139	0.318782	0.214433	0.195597	0.271187
259200000	-22794.8	-26684.2	3889.38	-26684.2	0.261067	0.00279676	11.4852	130.932	0.140466	12.9719	0.326079	0.211744	0.195091	0.267086
259400000	-22822.9	-26692.5	3869.61	-26692.5	0.272011	0.00221165	11.6253	111.002	0.140427	7.26185	0.322376	0.211256	0.199375	0.266993
259600000	-22837.9	-26701.1	3863.23	-26701.1	0.341158	0.00180731	8.58806	103.921	0.134699	4.07826	0.321492	0.209771	0.199576	0.26916
259800000	-22800.9	-26691.8	3890.93	-26691.8	0.278813	0.00234855	6.92545	130.435	0.0659802	-0.67004	0.323796	0.215096	0.198544	0.262564
260000000	-22778	-26679.8	3901.78	-26679.8	0.268972	0.00304357	10.1988	142.826	0.106054	12.9657	0.315252	0.213444	0.204061	0.267243
260200000	-22794.1	-26695.9	3901.79	-26695.9	0.271791	0.00207722	9.66804	142.17	0.076495	5.23379	0.324746	0.211353	0.194405	0.269496
260400000	-22823.9	-26703.5	3879.59	-26703.5	0.343271	0.00172806	3.56695	118.535	0.0922791	1.37348	0.312929	0.217651	0.196613	0.272806
260600000	-22830	-26701.5	3871.5	-26701.5	0.33589	0.00195737	8.9559	112.023	0.109478	2.87355	0.326331	0.20982	0.20031	0.263538
260800000	-22801.8	-26688.7	3886.86	-26688.7	0.268261	0.00250553	12.4124	127.443	0.0679656	0.773948	0.318582	0.215845	0.196809	0.268764
261000000	-22758.1	-26680.2	3922.15	-26680.2	0.274551	0.0017478	11.0565	162.644	0.0625641	7.36824	0.322854	0.214141	0.196803	0.266202
261200000	-22832.8	-26698.3	3865.59	-26698.3	0.282741	0.00165926	14.5116	107.391	0.132272	8.1272	0.316267	0.221359	0.193776	0.268597
261400000	-22817.9	-26696.2	3878.37	-26696.2	0.289314	0.00242061	12.2347	119.384	0.101671	2.57301	0.317314	0.215705	0.194338	0.272643
261600000	-22817.1	-26695.1	3877.98	-26695.1	0.289237	0.00191753	9.31977	118.508	0.101612	3.20496	0.32029	0.207688	0.202921	0.269101
261800000	-22877.6	-26712.6	3835.02	-26712.6	0.334619	0.00144201	8.05249	75.7981	0.165145	3.98122	0.321394	0.212685	0.20519	0.260732
262000000	-22873.2	-26711.9	3838.76	-26711.9	0.37253	0.00143044	5.79995	79.1041	0.172858	5.08596	0.318868	0.213349	0.195768	0.272015
262200000	-22837	-26710.5	3873.57	-26710.5	0.302854	0.00183227	6.07472	113.302	0.0913617	3.81152	0.322769	0.212729	0.195819	0.268683
262400000	-22772.6	-26687.6	3915.02	-26687.6	0.268899	0.00312595	12.4631	155.755	0.0672843	5.39274	0.320106	0.214545	0.194874	0.270475
262600000	-22790.1	-26687	3896.87	-26687	0.291853	0.00220047	6.25735	136.259	0.0688978	0.40886	0.322409	0.211726	0.197079	0.268786
262800000	-22805.5	-26694.9	3889.32	-26694.9	0.343138	0.00248887	10.2003	129.868	0.0859118	3.89234	0.32483	0.212466	0.194011	0.268692
263000000	-22813.3	-26697.7	3884.43	-26697.7	0.282115	0.00248616	9.55296	125.281	0.109499	9.55607	0.319668	0.216487	0.197005	0.266841
263200000	-22777.2	-26680.8	3903.63	-26680.8	0.281724	0.00252309	6.20846	143.544	0.0873958	9.84588	0.320915	0.212872	0.196421	0.269793
263400000	-22784.4	-26685.2	3900.81	-26685.2	0.299374	0.00243233	6.88481	140.564	0.0756395	4.44573	0.31527	0.212872	0.202118	0.26974
263600000	-22752.8	-26684.6	3931.84	-26684.6	0.273382	0.003082	7.52444	171.3	0.0479236	4.93867	0.316474	0.215468	0.202375	0.265682
263800000	-22819.9	-26700.2	3880.29	-26700.2	0.334427	0.00222636	9.65879	120.494	0.0737606	-1.13365	0.321004	0.212704	0.200589	0.265703
264000000	-22812.2	-26690	3877.8	-26690	0.298171	0.00253661	13.0089	119.259	0.122603	6.79608	0.315526	0.213691	0.200181	0.270602
264200000	-22790.6	-26689.6	3898.99	-26689.6	0.299498	0.00319937	8.34338	138.62	0.055423	0.156959	0.319881	0.210845	0.196272	0.273002
264400000	-22825.7	-26694.9	3869.23	-26694.9	0.316466	0.00204575	6.4614	109.113	0.103308	1.60092	0.318018	0.215602	0.199412	0.266967
264600000	-22818.4	-26693.6	3875.19	-26693.6	0.285737	0.00239688	9.5921	116.23	0.131836	9.49646	0.316248	0.207285	0.203988	0.272479
264800000	-22747.3	-26674.9	3927.55	-26674.9	0.270195	0.00213939	8.69109	167.371	0.0552665	4.11312	0.320323	0.214974	0.19896	0.265742
