# Produced by delphy version 0.99 (build 2020, commit 8e1dda4)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-init-heuristic <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha/ebola_delphy_alpha.log <DASH-DASH>v0-log-every 200000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha/ebola_delphy_alpha.trees <DASH-DASH>v0-tree-every 1000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-out-beast-xml beast2_run_alpha/ebola_alpha.xml
Sample	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	gammaShape	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
6200000	-45161.9	-26667.2	-18494.7	-26667.2	0.278376	0.00368964	1.43101	7.37563	166.16	0.0717014	5.07202	0.319655	0.217218	0.194282	0.268844
6400000	-42837.5	-26680.4	-16157	-26680.4	0.312633	0.00275539	2.33528	10.0574	161.514	0.0446427	-0.602435	0.314241	0.21463	0.204376	0.266752
6600000	-44878.7	-26668.2	-18210.5	-26668.2	0.28777	0.00238298	1.51989	8.52209	144.903	0.0831428	6.95361	0.320835	0.212447	0.197319	0.269398
6800000	-45550.6	-26673	-18877.6	-26673	0.310558	0.00231988	1.33816	7.16505	116.086	0.104741	1.87533	0.320823	0.215113	0.19584	0.268224
7000000	-44283.7	-26688.6	-17595.1	-26688.6	0.291111	0.00126736	1.81943	6.13343	88.2647	0.155941	5.33296	0.319654	0.21569	0.195316	0.269339
7200000	-38140.5	-26681.9	-11458.6	-26681.9	0.296796	0.00257055	4.4733	6.48742	124.378	0.108471	4.23675	0.318255	0.213961	0.197186	0.270597
7400000	-44209.6	-26695.3	-17514.3	-26695.3	0.325404	0.00211619	1.90365	4.2144	105.909	0.115797	2.40925	0.325059	0.209726	0.195623	0.269592
7600000	-41695.8	-26633	-15062.8	-26633	0.278839	0.00263356	0.504774	11.2183	155.807	0.0643867	3.52347	0.321927	0.215462	0.197338	0.265273
7800000	-45614.4	-26668.5	-18945.9	-26668.5	0.291949	0.00192494	0.753916	15.5278	126.81	0.0705347	-0.0600045	0.317271	0.219641	0.194586	0.268503
8000000	-1384.18	-26629.1	25244.9	-26629.1	0.3669	0.00149538	0.178295	12.7371	100.236	0.11688	-0.833056	0.317784	0.213346	0.199434	0.269436
8200000	-34175.7	-26657.4	-7518.3	-26657.4	0.293891	0.002253	0.34833	7.29818	109.523	0.114492	8.73832	0.31358	0.213312	0.200935	0.272173
8400000	-45878.7	-26682.1	-19196.6	-26682.1	0.302714	0.00142508	0.951867	5.67755	78.8861	0.2006	8.5057	0.316655	0.21856	0.197691	0.267094
8600000	-35460.5	-26631.5	-8829.06	-26631.5	0.297717	0.00243993	0.361079	17.169	120.745	0.0982284	4.97048	0.321379	0.211226	0.196997	0.270398
8800000	-45256.8	-26665.8	-18591	-26665.8	0.265504	0.00237447	0.733434	11.6741	124.312	0.0928516	9.91733	0.320432	0.211861	0.194913	0.272794
9000000	-32548.6	-26653.3	-5895.28	-26653.3	0.323269	0.00234774	0.325155	10.5244	156.117	0.0489561	1.59746	0.322299	0.212434	0.200234	0.265032
9200000	-40811.8	-26634.7	-14177.1	-26634.7	0.287262	0.00328617	0.460054	8.71617	175.615	0.0473706	1.6581	0.320047	0.215324	0.197609	0.26702
9400000	-45484.6	-26655.1	-18829.5	-26655.1	0.265709	0.00350954	0.743449	13.4438	175.608	0.0399953	3.62899	0.317563	0.21364	0.200366	0.268431
9600000	-45686.8	-26660	-19026.8	-26660	0.267114	0.00309515	0.847193	6.52988	147.268	0.0865395	6.82782	0.316196	0.217365	0.198918	0.26752
9800000	-44379.4	-26682.7	-17696.7	-26682.7	0.283362	0.00289219	1.78696	7.64715	142.859	0.0776726	6.27809	0.316941	0.214595	0.195843	0.272621
10000000	-38249.8	-26636.2	-11613.6	-26636.2	0.281664	0.00205882	0.406156	11.694	130.041	0.0771491	5.17284	0.318617	0.217815	0.193852	0.269716
10200000	-40537	-26631.1	-13905.9	-26631.1	0.268648	0.00223171	0.465187	11.1438	127.197	0.0974233	9.33899	0.319441	0.210886	0.200422	0.269252
10400000	-45963.7	-26660.1	-19303.6	-26660.1	0.296416	0.00238671	0.992508	17.2494	116.554	0.103885	3.90645	0.319635	0.211545	0.20165	0.267169
10600000	-44594	-26664.6	-17929.4	-26664.6	0.266551	0.00266958	1.70198	10.2117	167.37	0.0596942	8.44981	0.322674	0.213889	0.202017	0.26142
10800000	-45551.7	-26646.3	-18905.4	-26646.3	0.267577	0.00282841	0.818715	9.88238	162.079	0.0660063	10.3625	0.324354	0.211341	0.198482	0.265823
11000000	-44472.8	-26661.6	-17811.2	-26661.6	0.273911	0.00224991	0.644545	12.2892	135.539	0.0997136	3.82137	0.309938	0.214995	0.202725	0.272341
11200000	-45374.5	-26659.1	-18715.4	-26659.1	0.276113	0.00258464	0.804921	4.93397	144.107	0.059293	3.06327	0.315058	0.210534	0.20176	0.272648
11400000	-45457.2	-26671.5	-18785.7	-26671.5	0.259861	0.00256203	1.40155	10.4746	125.841	0.104643	6.62762	0.321458	0.212803	0.19924	0.2665
